Student_ID,CGPA,SSC_Marks,HSC_Marks,Internship_Count,Internship_Duration_Months,Projects,Workshops_Certifications,Extracurricular_Activities,Active_Backlogs,Placement_Training,Placement_Status
STU02096,7.9,80.77,92.87,1,1,3,2,2,3,Yes,1
STU02097,8.0,79.25,75.52,0,0,4,3,3,0,No,1
STU02098,6.07,61.28,53.76,1,1,6,2,4,1,Yes,0
STU02099,4.92,51.93,41.54,0,0,2,3,5,0,Yes,0
STU02100,8.78,93.67,72.29,1,3,3,3,3,0,Yes,1
STU02101,7.3,73.57,68.92,2,6,5,1,1,2,Yes,1
STU02102,5.03,44.26,35.0,1,3,3,1,4,0,No,0
STU02103,6.18,55.72,49.65,1,2,3,2,3,0,No,1
STU02104,7.89,77.78,68.53,1,2,4,3,2,0,No,1
STU02105,6.68,71.45,62.28,1,3,2,2,2,0,Yes,0
STU02106,6.41,64.83,51.14,2,4,3,2,1,0,Yes,1
STU02107,8.61,85.73,72.57,2,3,3,1,1,0,No,0
STU02108,5.8,46.17,53.92,1,1,3,1,3,0,No,1
STU02109,6.08,63.85,47.98,0,0,0,1,1,0,No,0
STU02110,7.24,72.47,66.06,1,2,6,1,2,0,No,1
STU02111,7.45,73.84,65.76,1,2,3,2,1,0,Yes,1
STU02112,7.57,85.69,80.29,1,3,1,0,3,1,No,0
STU02113,8.05,78.93,80.61,1,3,1,2,1,2,No,1
STU02114,7.23,69.48,64.72,0,0,3,0,4,0,No,0
STU02115,7.56,74.92,61.82,2,3,5,0,5,0,Yes,1
STU02116,6.7,55.13,75.09,1,2,2,2,1,0,Yes,1
STU02117,7.07,70.9,77.89,2,5,4,3,2,2,No,1
STU02118,7.12,65.27,75.5,0,0,3,3,1,0,Yes,1
STU02119,7.25,68.28,64.49,2,6,2,1,3,2,No,1
STU02120,7.89,76.12,74.34,1,3,4,1,1,1,Yes,1
STU02121,7.64,73.8,76.73,1,3,1,4,4,0,Yes,1
STU02122,7.05,63.69,60.36,0,0,1,2,2,0,Yes,1
STU02123,6.07,55.95,45.53,2,5,1,0,4,0,Yes,1
STU02124,7.08,68.18,74.86,0,0,2,1,1,0,No,1
STU02125,6.97,67.64,64.02,0,0,0,4,0,3,Yes,1
STU02126,7.22,85.41,61.57,2,6,5,3,3,0,Yes,0
STU02127,9.54,88.43,92.08,1,2,3,4,2,0,Yes,1
STU02128,6.4,62.27,52.2,2,5,2,1,2,0,No,0
STU02129,7.49,79.52,60.33,3,6,6,3,5,0,Yes,1
STU02130,8.23,83.18,73.74,0,0,0,1,3,0,No,1
STU02131,7.11,71.3,63.56,2,5,1,2,3,0,Yes,1
STU02132,9.69,89.67,87.86,0,0,0,3,2,0,Yes,1
STU02133,6.57,62.18,59.0,2,3,8,1,3,0,No,0
STU02134,7.37,70.02,77.9,1,2,3,1,2,2,Yes,1
STU02135,6.08,51.63,50.17,2,3,1,0,1,0,No,1
STU02136,6.6,61.53,55.64,1,1,2,2,3,0,No,0
STU02137,7.29,60.5,76.8,1,1,2,2,2,0,No,1
STU02138,7.97,90.25,84.14,2,6,2,0,4,0,No,1
STU02139,7.37,86.42,69.17,0,0,1,3,1,0,Yes,1
STU02140,8.45,86.32,84.05,0,0,3,0,2,0,No,0
STU02141,6.89,70.08,60.24,2,6,2,1,1,0,No,1
STU02142,6.62,68.24,51.79,3,7,5,1,3,1,No,1
STU02143,10.0,81.94,100.0,1,3,4,1,2,3,No,1
STU02144,7.45,80.28,68.45,1,1,3,2,3,0,No,1
STU02145,6.17,53.16,54.49,0,0,1,1,4,0,No,0
STU02146,6.2,69.77,43.93,1,3,2,2,0,0,Yes,0
STU02147,5.92,51.78,54.33,2,6,7,1,1,0,Yes,1
STU02148,8.08,87.69,72.01,0,0,0,2,4,0,No,1
STU02149,6.58,60.14,68.27,0,0,2,2,2,0,No,0
STU02150,7.15,83.33,77.93,0,0,1,4,2,0,Yes,0
STU02151,6.93,63.55,67.02,0,0,0,1,3,0,No,0
STU02152,7.84,86.74,77.44,1,2,0,1,2,0,No,1
STU02153,6.03,57.73,49.84,0,0,1,0,2,1,Yes,0
STU02154,5.76,53.88,48.16,1,1,3,0,2,0,No,0
STU02155,7.26,73.23,71.31,0,0,1,1,1,0,Yes,1
STU02156,7.69,74.04,75.58,2,4,4,1,5,0,Yes,0
STU02157,7.38,58.18,76.59,1,3,1,0,2,0,No,1
STU02158,6.07,60.91,45.95,1,2,4,0,2,0,Yes,0
STU02159,7.78,76.15,85.25,2,3,4,0,3,0,No,0
STU02160,6.14,62.38,49.82,0,0,0,2,2,0,Yes,0
STU02161,6.4,60.79,51.2,3,9,2,2,2,0,No,1
STU02162,5.91,60.1,52.07,0,0,0,0,2,0,No,0
STU02163,8.5,90.44,85.19,1,1,0,6,3,0,Yes,1
STU02164,7.73,63.7,65.07,0,0,1,5,1,0,Yes,0
STU02165,7.7,81.78,72.21,2,5,4,6,2,0,Yes,1
STU02166,8.43,83.13,69.16,1,1,2,3,3,0,Yes,1
STU02167,10.0,96.88,82.84,0,0,1,0,0,0,No,0
STU02168,5.03,50.56,40.22,1,3,1,2,2,0,Yes,0
STU02169,6.15,59.05,54.22,3,8,2,1,1,1,No,0
STU02170,6.29,55.55,49.45,0,0,2,3,2,0,Yes,1
STU02171,6.02,48.45,47.62,0,0,3,0,4,0,Yes,1
STU02172,5.76,48.84,56.26,0,0,4,1,0,0,Yes,0
STU02173,6.66,51.55,71.73,0,0,2,4,4,1,Yes,1
STU02174,5.6,46.58,41.6,2,3,3,2,4,0,No,0
STU02175,7.39,64.94,76.84,1,2,2,1,2,0,No,1
STU02176,7.06,60.19,68.15,0,0,2,1,1,3,No,0
STU02177,7.55,76.88,62.75,2,5,2,5,2,1,Yes,1
STU02178,7.58,79.75,68.8,2,4,0,4,2,0,Yes,1
STU02179,7.69,77.89,56.91,3,6,8,3,5,0,Yes,0
STU02180,6.57,58.06,60.0,0,0,4,0,2,0,No,0
STU02181,9.44,83.55,79.77,1,2,1,1,3,1,Yes,1
STU02182,7.27,70.13,69.83,2,5,3,2,2,0,Yes,1
STU02183,4.86,41.44,58.8,0,0,2,1,4,0,No,0
STU02184,5.85,51.88,58.81,0,0,1,3,5,0,Yes,0
STU02185,5.0,37.74,39.26,2,3,4,1,2,0,No,1
STU02186,7.02,72.43,59.17,0,0,4,6,1,0,Yes,1
STU02187,6.86,62.17,70.33,1,3,1,3,2,0,Yes,1
STU02188,6.46,61.71,50.43,2,4,1,4,3,0,No,0
STU02189,9.31,94.31,91.93,1,3,4,2,3,0,No,1
STU02190,7.63,79.15,90.6,2,4,3,1,5,0,Yes,0
STU02191,7.84,84.47,80.73,2,3,2,0,3,0,No,1
STU02192,5.93,40.63,57.13,2,5,5,3,3,0,No,1
STU02193,5.85,49.33,55.7,1,1,1,1,2,2,No,0
STU02194,7.04,75.21,62.25,0,0,1,0,2,0,No,0
STU02195,7.2,73.99,69.68,0,0,2,0,1,0,No,0
STU02196,4.87,57.5,37.67,2,4,1,3,4,0,Yes,1
STU02197,6.79,74.78,69.29,0,0,1,2,1,0,No,1
STU02198,7.02,69.97,58.66,0,0,1,3,2,0,No,0
STU02199,6.75,62.36,65.08,1,1,5,1,2,0,Yes,1
STU02200,6.06,48.67,58.21,1,1,6,3,3,0,Yes,0
STU02201,6.38,55.5,52.41,2,4,2,2,2,0,Yes,0
STU02202,6.8,62.2,57.32,3,12,5,3,1,0,Yes,0
STU02203,7.1,65.96,65.5,0,0,2,1,1,0,Yes,0
STU02204,7.7,72.58,69.74,0,0,1,1,2,0,Yes,0
STU02205,8.24,86.09,81.62,2,3,7,1,5,2,No,1
STU02206,6.66,72.61,53.93,0,0,1,2,2,0,No,0
STU02207,6.48,65.29,51.62,0,0,2,3,3,0,No,1
STU02208,7.5,73.5,75.72,0,0,0,5,1,0,Yes,0
STU02209,7.7,84.25,78.87,0,0,1,7,3,0,Yes,1
STU02210,6.5,62.15,55.31,1,2,2,3,2,0,No,1
STU02211,7.91,80.35,67.71,0,0,0,3,2,0,Yes,1
STU02212,8.13,82.03,86.68,1,2,1,4,1,0,Yes,1
STU02213,8.49,84.37,79.88,1,3,2,1,4,0,No,1
STU02214,9.05,92.14,97.61,0,0,2,1,1,2,No,0
STU02215,6.0,54.58,49.95,0,0,2,2,2,0,No,1
STU02216,7.02,63.79,65.98,0,0,3,1,2,0,No,1
STU02217,7.01,63.42,62.49,2,3,3,2,1,0,No,0
STU02218,6.89,67.83,64.45,0,0,1,2,1,0,No,0
STU02219,6.25,59.26,74.54,2,5,5,0,1,0,No,1
STU02220,5.29,46.27,43.05,2,5,0,3,3,0,No,1
STU02221,7.11,62.76,74.21,1,1,3,1,4,1,Yes,1
STU02222,6.12,62.51,52.55,2,3,3,0,2,2,No,0
STU02223,7.1,75.68,73.49,0,0,1,1,1,0,No,1
STU02224,6.09,42.74,40.08,0,0,0,4,2,0,Yes,0
STU02225,5.74,59.26,59.89,0,0,4,0,5,0,No,0
STU02226,7.27,70.77,71.07,1,1,6,1,2,1,Yes,0
STU02227,7.17,71.69,65.95,1,1,2,3,0,0,Yes,0
STU02228,7.67,84.55,80.14,3,10,4,2,1,2,Yes,1
STU02229,9.51,99.25,87.2,2,4,1,6,1,0,Yes,1
STU02230,7.32,78.79,62.89,1,1,0,0,2,0,No,0
STU02231,7.56,77.68,58.69,1,1,1,2,2,0,Yes,0
STU02232,5.76,43.18,59.39,0,0,2,4,2,0,Yes,0
STU02233,5.52,37.45,45.27,0,0,3,7,3,0,Yes,0
STU02234,8.82,92.63,80.69,0,0,3,1,3,0,Yes,1
STU02235,5.94,61.16,46.89,1,2,0,0,2,0,No,0
STU02236,5.8,46.88,57.56,0,0,1,0,1,0,No,0
STU02237,6.96,65.54,61.22,2,5,5,2,1,1,No,0
STU02238,6.9,62.85,67.06,3,10,7,1,5,0,No,1
STU02239,5.96,49.86,48.36,0,0,1,2,2,0,Yes,0
STU02240,6.65,68.7,51.72,1,2,1,0,3,0,Yes,0
STU02241,8.41,86.36,87.46,1,1,3,3,2,0,Yes,1
STU02242,6.07,53.14,58.13,1,1,5,1,2,0,Yes,0
STU02243,5.4,64.74,41.72,2,3,3,4,2,0,Yes,1
STU02244,8.08,73.69,79.07,1,3,3,0,2,0,No,0
STU02245,7.57,79.63,73.92,1,3,2,0,2,1,No,1
STU02246,6.29,50.82,56.78,0,0,2,4,2,0,Yes,0
STU02247,5.18,46.7,56.48,0,0,2,1,1,0,Yes,0
STU02248,6.14,56.24,50.41,2,6,3,2,5,0,Yes,1
STU02249,6.94,71.91,61.87,3,10,2,2,2,0,Yes,1
STU02250,8.34,82.97,80.49,1,2,1,5,2,0,Yes,0
STU02251,5.81,49.65,43.2,0,0,1,3,2,0,Yes,1
STU02252,6.9,64.63,52.97,1,3,3,0,1,0,No,1
STU02253,7.78,72.56,76.85,1,3,1,2,2,0,Yes,1
STU02254,4.26,49.19,45.56,1,2,3,1,2,0,No,0
STU02255,8.19,84.88,80.21,0,0,1,3,1,0,Yes,1
STU02256,5.64,53.06,47.07,2,6,5,3,2,0,No,1
STU02257,7.38,73.27,65.29,3,8,5,1,3,0,Yes,1
STU02258,7.28,71.11,70.78,2,5,3,2,1,0,Yes,1
STU02259,8.25,90.79,81.76,3,6,5,4,3,0,Yes,1
STU02260,7.63,83.36,77.08,0,0,0,2,3,0,No,1
STU02261,4.27,53.89,44.35,0,0,1,3,5,0,No,1
STU02262,6.1,57.04,54.17,2,4,5,3,2,0,No,1
STU02263,7.16,78.46,75.26,1,3,3,2,2,0,No,1
STU02264,6.78,61.77,64.7,3,7,4,5,1,2,No,1
STU02265,7.55,74.92,76.01,0,0,1,1,3,0,Yes,1
STU02266,7.91,87.74,67.11,0,0,2,2,1,0,No,0
STU02267,7.7,83.2,81.46,1,1,4,3,3,0,No,1
STU02268,6.75,62.15,59.11,1,1,3,1,3,0,No,0
STU02269,4.88,40.17,43.92,0,0,3,2,2,0,Yes,0
STU02270,6.48,58.48,49.07,1,1,5,1,2,0,Yes,1
STU02271,7.48,70.98,84.63,2,6,5,7,5,0,Yes,1
STU02272,5.75,61.65,35.0,1,3,2,3,2,0,No,0
STU02273,7.73,83.0,84.36,0,0,1,1,2,1,No,1
STU02274,8.04,77.36,81.51,2,5,0,4,2,0,Yes,1
STU02275,7.15,63.86,55.7,1,3,2,3,1,0,Yes,1
STU02276,4.0,40.45,54.34,1,2,4,4,3,0,Yes,0
STU02277,5.53,46.33,49.77,1,3,2,3,1,3,Yes,1
STU02278,9.17,87.62,71.47,0,0,0,2,1,0,Yes,1
STU02279,6.37,64.92,52.7,0,0,3,0,2,0,No,0
STU02280,4.72,40.24,46.25,2,4,2,2,1,0,Yes,0
STU02281,8.42,98.84,92.39,0,0,2,2,2,0,Yes,1
STU02282,7.02,62.49,62.69,3,11,6,0,0,0,No,1
STU02283,8.27,75.5,65.08,3,8,5,1,2,2,No,1
STU02284,7.32,82.9,78.53,0,0,3,4,3,0,No,0
STU02285,7.53,83.71,75.77,0,0,1,1,2,0,Yes,0
STU02286,7.42,73.07,57.77,2,6,5,2,3,0,Yes,1
STU02287,7.8,81.6,78.37,2,4,4,5,1,0,Yes,1
STU02288,9.62,91.91,89.16,0,0,0,1,1,2,No,1
STU02289,8.12,83.38,77.61,1,3,3,2,2,0,No,0
STU02290,5.18,39.88,39.7,0,0,1,1,2,1,No,0
STU02291,7.51,60.69,68.92,0,0,0,2,2,1,No,0
STU02292,8.31,79.25,79.36,1,1,1,0,3,0,Yes,1
STU02293,8.38,95.75,83.98,0,0,1,2,2,2,No,0
STU02294,6.51,71.32,61.91,0,0,2,1,2,3,No,1
STU02295,8.34,82.95,68.64,1,3,3,1,2,1,No,1
STU02296,8.07,76.41,80.69,0,0,2,2,4,0,Yes,1
STU02297,9.96,91.43,89.68,0,0,2,2,2,0,Yes,1
STU02298,6.14,57.91,53.29,1,3,0,2,1,0,Yes,0
STU02299,6.42,62.47,53.43,2,4,4,3,2,2,No,1
STU02300,6.65,47.06,67.74,1,3,4,4,2,0,Yes,1
STU02301,6.44,78.05,64.17,1,3,2,0,1,0,Yes,1
STU02302,5.98,60.31,48.32,0,0,1,3,3,1,Yes,0
STU02303,4.0,43.93,41.62,2,5,4,1,2,2,No,0
STU02304,6.5,55.76,61.7,0,0,1,1,5,1,No,0
STU02305,7.42,80.21,78.98,0,0,0,3,2,1,Yes,0
STU02306,6.43,62.03,51.16,0,0,0,1,1,0,No,0
STU02307,9.23,89.33,79.5,0,0,3,3,2,0,Yes,1
STU02308,7.02,70.9,66.8,1,3,5,1,5,0,No,0
STU02309,8.48,84.89,75.83,3,12,2,0,1,2,Yes,0
STU02310,7.3,74.94,57.86,1,1,3,4,1,0,Yes,1
STU02311,7.95,85.38,73.1,0,0,1,0,2,0,No,1
STU02312,7.32,74.87,72.31,2,6,5,1,1,0,Yes,1
STU02313,8.57,87.79,92.37,0,0,0,1,4,0,Yes,1
STU02314,7.06,77.25,61.64,1,1,3,1,3,0,Yes,1
STU02315,7.57,66.81,72.65,1,3,1,1,4,3,No,1
STU02316,7.42,69.44,72.16,1,1,3,1,1,0,No,1
STU02317,6.67,62.69,55.63,0,0,3,4,4,0,Yes,1
STU02318,7.47,70.54,67.55,2,5,3,0,1,0,No,1
STU02319,9.57,87.03,88.42,0,0,2,2,3,0,No,1
STU02320,6.69,70.53,52.61,1,3,3,3,2,0,Yes,1
STU02321,7.48,74.24,67.53,0,0,2,0,2,0,Yes,0
STU02322,8.45,74.32,81.08,1,2,2,6,0,0,Yes,1
STU02323,8.31,81.76,83.24,2,6,6,1,2,1,No,1
STU02324,7.01,68.45,56.01,1,3,4,1,1,1,Yes,1
STU02325,4.26,45.63,41.61,0,0,2,0,2,0,No,0
STU02326,7.59,80.0,65.92,1,1,1,1,2,0,No,0
STU02327,4.45,48.43,38.48,2,4,6,2,0,0,Yes,1
STU02328,8.69,85.9,88.46,0,0,0,2,3,0,No,1
STU02329,7.19,63.7,67.42,0,0,0,2,3,0,Yes,1
STU02330,8.15,80.21,89.87,1,3,2,1,2,0,Yes,1
STU02331,5.96,49.63,49.94,1,3,4,2,3,0,No,1
STU02332,5.21,46.09,50.61,0,0,3,0,4,0,No,0
STU02333,7.3,76.67,74.29,1,1,7,5,2,1,No,0
STU02334,6.96,69.68,64.18,1,2,0,1,3,0,No,1
STU02335,6.43,64.04,48.2,0,0,3,1,1,0,No,0
STU02336,7.1,67.12,65.79,0,0,1,3,4,1,Yes,0
STU02337,10.0,98.94,83.7,0,0,1,1,1,0,No,0
STU02338,7.96,85.15,74.68,0,0,1,1,1,0,No,1
STU02339,8.21,84.03,81.3,2,4,2,1,1,0,Yes,1
STU02340,7.97,84.85,69.53,0,0,0,0,3,0,No,1
STU02341,8.7,82.76,78.57,0,0,2,2,4,0,Yes,0
STU02342,6.78,51.67,55.25,2,3,7,4,2,0,Yes,1
STU02343,4.64,42.26,41.37,1,2,2,1,1,0,No,0
STU02344,6.78,68.85,56.76,2,6,7,2,1,0,No,1
STU02345,7.93,81.32,73.63,1,2,3,4,1,0,Yes,1
STU02346,5.88,51.8,50.44,2,5,3,3,3,0,Yes,1
STU02347,6.8,59.57,58.98,0,0,2,4,3,0,Yes,1
STU02348,6.2,44.35,53.11,1,1,2,1,1,0,No,1
STU02349,8.73,95.5,77.25,0,0,5,1,1,3,No,0
STU02350,7.86,78.75,72.02,1,2,2,3,1,0,No,1
STU02351,7.75,76.15,87.98,0,0,1,2,1,2,Yes,0
STU02352,7.71,74.3,71.14,1,2,1,2,1,0,No,1
STU02353,6.96,74.73,51.56,1,2,2,1,1,1,No,0
STU02354,7.23,76.66,70.43,0,0,2,2,2,0,Yes,1
STU02355,5.64,44.61,43.16,0,0,2,3,1,0,No,0
STU02356,4.49,52.63,44.11,1,1,2,0,1,0,No,0
STU02357,7.17,69.68,67.01,1,3,0,3,1,0,Yes,1
STU02358,7.37,69.87,73.83,1,2,1,1,2,2,Yes,0
STU02359,8.39,83.13,81.3,1,2,1,3,2,0,No,1
STU02360,8.81,82.6,82.94,1,3,1,4,4,0,No,1
STU02361,8.81,79.36,91.18,0,0,0,3,2,0,Yes,0
STU02362,5.85,56.95,35.99,1,1,3,1,1,0,No,1
STU02363,6.59,60.09,50.46,0,0,2,2,1,2,No,0
STU02364,7.55,79.87,68.22,1,1,5,5,2,0,Yes,1
STU02365,9.91,91.44,76.56,0,0,3,2,5,0,Yes,1
STU02366,8.7,90.11,80.94,1,1,2,2,2,0,No,1
STU02367,8.29,71.79,77.6,1,2,3,3,1,0,Yes,1
STU02368,6.55,55.61,63.66,0,0,0,2,1,0,No,1
STU02369,5.98,56.98,50.04,2,4,1,0,1,0,Yes,0
STU02370,7.91,72.91,76.28,0,0,0,6,4,1,Yes,1
STU02371,5.73,53.44,45.92,0,0,2,0,2,2,Yes,0
STU02372,6.73,55.07,54.11,1,1,2,2,2,0,Yes,0
STU02373,6.87,65.81,68.05,2,3,4,0,3,0,Yes,1
STU02374,8.83,97.1,91.7,0,0,3,1,3,1,No,1
STU02375,6.59,66.01,51.09,0,0,2,1,4,0,No,0
STU02376,4.19,35.0,52.06,1,3,0,4,1,0,Yes,1
STU02377,7.58,81.6,69.48,0,0,1,1,2,0,No,0
STU02378,6.2,66.89,48.44,1,3,4,1,1,0,No,1
STU02379,7.05,85.48,68.53,2,5,5,1,2,0,No,0
STU02380,6.9,69.12,66.64,0,0,1,2,2,2,Yes,0
STU02381,6.69,54.56,59.32,0,0,1,3,2,0,No,1
STU02382,7.91,83.2,75.51,1,2,1,5,2,0,Yes,1
STU02383,5.24,57.5,51.96,1,2,1,2,1,0,No,1
STU02384,6.41,57.61,51.99,1,1,1,2,2,2,No,0
STU02385,7.79,85.4,75.73,2,4,5,2,2,0,Yes,1
STU02386,6.29,52.16,64.36,2,4,3,5,4,0,Yes,0
STU02387,5.15,49.73,36.47,0,0,1,3,1,0,Yes,0
STU02388,7.77,64.01,73.2,2,3,6,2,1,1,Yes,1
STU02389,8.29,78.4,87.26,1,3,1,6,4,0,Yes,1
STU02390,6.95,67.0,67.2,2,5,4,4,1,3,Yes,1
STU02391,4.75,43.92,48.47,1,2,1,0,4,0,No,0
STU02392,7.81,71.61,68.48,2,4,4,5,0,0,Yes,1
STU02393,5.09,44.23,46.16,2,6,4,0,0,0,No,0
STU02394,7.36,75.26,68.57,0,0,2,0,3,0,Yes,0
STU02395,5.98,53.03,64.18,1,2,2,3,3,2,Yes,0
STU02396,5.67,50.98,52.48,1,1,5,5,2,0,Yes,0
STU02397,6.49,64.34,56.82,1,1,2,1,3,1,Yes,1
STU02398,6.79,62.43,63.2,0,0,1,1,0,0,No,1
STU02399,6.26,64.91,54.08,0,0,3,3,1,0,Yes,0
STU02400,7.68,71.94,79.07,0,0,1,0,2,0,No,0
STU02401,6.49,71.46,51.76,1,2,3,1,2,1,No,0
STU02402,8.13,89.33,87.85,1,2,1,2,3,0,Yes,1
STU02403,7.32,70.69,61.88,1,2,1,1,1,0,No,1
STU02404,6.2,54.25,54.21,0,0,1,7,3,1,Yes,1
STU02405,6.0,54.99,45.81,2,4,2,0,3,0,No,0
STU02406,5.11,50.9,44.56,1,1,4,3,2,3,Yes,0
STU02407,7.33,79.57,75.93,2,3,3,3,2,0,Yes,1
STU02408,6.59,53.33,48.1,2,5,4,4,4,0,Yes,1
STU02409,4.27,48.04,41.39,2,5,2,1,2,0,Yes,0
STU02410,6.38,45.74,46.8,1,1,1,1,1,1,Yes,0
STU02411,5.96,52.32,48.7,1,2,3,5,3,3,Yes,1
STU02412,8.81,96.05,75.68,1,1,2,1,4,0,Yes,1
STU02413,5.04,38.56,45.03,0,0,4,0,2,0,No,0
STU02414,5.34,38.87,42.9,2,5,2,0,1,0,No,0
STU02415,8.28,85.32,85.48,1,1,2,3,2,0,Yes,1
STU02416,8.56,94.3,90.35,1,1,4,0,3,0,Yes,0
STU02417,6.14,57.3,52.41,1,3,4,2,3,0,Yes,0
STU02418,6.27,45.47,59.26,1,3,2,1,5,0,No,1
STU02419,7.71,68.15,83.54,1,3,2,2,1,0,No,0
STU02420,4.32,46.07,36.95,0,0,0,2,3,2,Yes,0
STU02421,4.86,39.31,52.0,1,1,3,0,5,0,No,0
STU02422,6.68,63.45,59.41,3,7,5,2,1,0,No,1
STU02423,8.78,88.37,78.32,2,3,2,3,3,0,Yes,1
STU02424,6.5,57.11,58.84,0,0,5,0,4,0,No,0
STU02425,7.12,80.62,66.3,1,3,3,1,2,2,No,1
STU02426,8.3,87.8,72.82,1,3,3,2,0,0,No,1
STU02427,9.42,96.47,79.59,3,9,4,1,4,1,No,1
STU02428,6.34,63.26,64.56,3,12,1,4,4,0,Yes,1
STU02429,6.98,66.63,66.2,0,0,3,2,3,0,Yes,0
STU02430,9.1,87.23,94.29,0,0,3,5,1,0,Yes,1
STU02431,5.25,46.18,42.47,0,0,2,0,3,0,Yes,0
STU02432,8.18,87.23,75.34,0,0,1,0,1,0,No,1
STU02433,5.83,48.18,38.98,1,1,2,1,4,0,No,1
STU02434,7.12,80.13,72.58,1,3,2,0,2,0,No,0
STU02435,6.72,58.84,62.78,2,6,2,7,3,1,Yes,0
STU02436,5.9,54.07,47.33,0,0,2,1,3,0,No,0
STU02437,5.87,51.1,44.72,0,0,1,2,2,0,No,0
STU02438,7.32,70.06,76.52,1,3,5,2,2,0,Yes,1
STU02439,8.14,95.84,78.74,1,2,3,0,2,0,Yes,1
STU02440,6.85,62.81,61.45,0,0,2,6,2,1,Yes,0
STU02441,7.08,67.32,62.55,0,0,1,1,1,1,Yes,0
STU02442,7.66,73.6,72.14,1,1,3,2,0,0,Yes,1
STU02443,5.88,52.85,52.9,0,0,0,3,2,2,Yes,0
STU02444,7.85,79.25,68.36,1,3,2,1,0,0,No,0
STU02445,7.94,74.22,78.42,2,5,4,2,2,3,No,1
STU02446,9.99,87.23,92.51,0,0,2,6,1,0,Yes,1
STU02447,6.57,64.65,57.49,1,3,3,1,1,0,No,1
STU02448,6.47,65.82,62.99,2,6,5,3,2,0,Yes,0
STU02449,7.88,80.43,85.33,1,2,5,3,1,0,Yes,1
STU02450,7.94,81.29,83.36,0,0,0,5,2,0,No,1
STU02451,6.38,56.29,52.23,0,0,2,0,2,0,No,1
STU02452,6.54,57.56,57.36,2,3,5,4,1,0,No,0
STU02453,7.62,71.52,76.11,0,0,1,2,2,0,No,1
STU02454,6.05,44.84,48.36,2,3,7,1,1,0,No,1
STU02455,6.53,56.24,54.43,2,3,4,3,1,2,Yes,1
STU02456,7.1,74.92,63.12,2,6,1,2,4,2,Yes,0
STU02457,8.15,80.27,95.08,2,5,5,1,1,0,Yes,1
STU02458,6.3,55.26,52.71,2,4,0,4,2,0,No,1
STU02459,4.88,44.27,49.88,2,3,3,7,2,0,Yes,1
STU02460,4.8,53.67,37.98,1,2,1,1,2,1,Yes,0
STU02461,5.55,44.26,57.04,0,0,1,1,1,0,Yes,0
STU02462,5.49,51.08,44.14,0,0,1,2,1,0,No,0
STU02463,6.82,64.66,62.39,0,0,0,2,1,0,No,0
STU02464,5.63,50.77,36.37,0,0,3,4,3,1,Yes,0
STU02465,6.19,57.37,59.6,2,3,4,3,1,0,Yes,0
STU02466,6.11,55.28,59.94,2,3,6,1,2,0,No,1
STU02467,6.49,64.75,49.86,1,1,3,0,1,0,No,0
STU02468,8.52,85.59,89.82,2,5,3,1,2,0,No,1
STU02469,7.76,89.31,67.82,1,1,1,2,2,0,No,1
STU02470,7.02,68.47,69.0,1,1,4,1,0,0,No,0
STU02471,6.47,49.4,54.89,2,4,2,3,2,0,Yes,0
STU02472,6.5,63.92,65.1,2,4,4,2,2,2,No,0
STU02473,7.38,75.95,72.09,2,6,4,2,3,2,No,1
STU02474,7.67,78.01,80.4,1,1,0,0,4,0,No,1
STU02475,5.96,51.73,57.71,0,0,1,2,1,0,No,0
STU02476,7.04,55.89,63.83,1,3,2,6,3,0,No,1
STU02477,4.66,35.0,42.77,1,2,1,1,1,2,No,0
STU02478,7.24,81.56,62.0,2,4,5,3,3,0,Yes,1
STU02479,7.88,76.66,75.37,1,3,3,2,2,0,Yes,1
STU02480,6.68,68.44,71.21,2,4,5,3,1,0,Yes,1
STU02481,9.09,78.76,89.92,0,0,0,2,1,0,No,0
STU02482,5.99,47.3,44.31,1,2,4,4,2,0,Yes,1
STU02483,7.25,75.83,78.55,1,3,3,3,4,1,No,0
STU02484,6.96,66.61,66.56,2,5,2,3,5,0,Yes,1
STU02485,6.88,69.18,67.94,1,2,0,0,1,0,No,0
STU02486,6.87,65.65,65.67,0,0,1,0,1,0,No,0
STU02487,7.12,68.58,69.35,2,5,1,1,1,0,No,1
STU02488,7.98,77.22,66.31,0,0,1,2,2,0,Yes,1
STU02489,8.58,78.94,89.74,1,2,2,1,2,0,No,1
STU02490,7.0,76.21,51.27,1,1,3,2,3,0,No,0
STU02491,7.94,90.29,83.98,3,11,2,0,1,0,No,0
STU02492,6.19,49.68,53.51,0,0,0,0,4,0,No,0
STU02493,7.88,73.62,82.26,1,1,2,3,2,0,No,1
STU02494,6.12,53.02,53.05,0,0,2,3,1,0,Yes,1
STU02495,8.25,85.85,87.07,1,1,3,1,1,0,No,0
STU02496,9.54,88.28,86.46,1,1,4,0,4,0,Yes,1
STU02497,6.86,68.57,64.26,0,0,2,1,2,0,No,0
STU02498,4.48,45.34,45.06,2,5,3,2,5,0,No,1
STU02499,6.37,57.53,66.49,1,1,2,0,5,0,No,1
STU02500,8.42,99.54,85.67,2,5,5,4,3,0,Yes,1
STU02501,7.64,74.12,66.37,2,4,3,3,1,2,Yes,1
STU02502,7.29,82.17,65.94,1,3,4,0,3,0,No,0
STU02503,8.16,91.62,83.52,0,0,5,0,3,0,Yes,0
